,SolN,Fragments,ObjVal
0,1,"['frag_103', 'frag_12', 'frag_255']",8.317264505421917
1,2,"['frag_102', 'frag_15', 'frag_255']",8.400145184059511
2,3,"['frag_103', 'frag_15', 'frag_277']",8.592023002558562
3,4,"['frag_15', 'frag_220', 'frag_277']",8.881256652704906
4,5,"['frag_12', 'frag_221', 'frag_277']",9.013123545097187
5,6,"['frag_102', 'frag_12', 'frag_317']",9.30583124212717
6,7,"['frag_12', 'frag_220', 'frag_255']",9.439357479184764
7,8,"['frag_173', 'frag_20', 'frag_89']",9.684684355877835
8,9,"['frag_12', 'frag_191', 'frag_277']",9.99249389522447
9,10,"['frag_252', 'frag_26', 'frag_277']",10.179085169414975
10,11,"['frag_255', 'frag_26', 'frag_80']",10.490547550463816
11,12,"['frag_10', 'frag_26', 'frag_317']",10.496118655202736
12,13,"['frag_101', 'frag_12', 'frag_233']",10.512606949852852
13,14,"['frag_15', 'frag_186', 'frag_89']",10.530341639212565
14,15,"['frag_101', 'frag_15', 'frag_243']",10.610906601275929
